"Section","Name","Value","Detail"
"Metric","Health Score","86","Excellent trajectory"
"Metric","Total Income","₹1.24L","Actual: ₹1,24,450"
"Metric","Total Expenses","₹41.1K","Actual: ₹41,120"
"Metric","Savings Rate","66.9%","Target: 55%"
"Spending","Housing & Utilities","₹18,500","45%"
"Spending","Food & Dining","₹12,200","30%"
"Spending","Transportation","₹5,420","13%"
"Spending","Entertainment","₹5,000","12%"
"Recent transaction","Whole Foods Market","-₹3,450","Groceries on Oct 28"
"Recent transaction","Uber Ride","-₹450","Transport on Oct 27"
"Recent transaction","TechNova Salary","+₹1,24,450","Income on Oct 26"
"Recent transaction","Blue Bottle Coffee","-₹320","Dining on Oct 25"
"Insight","Dining Outlier Detected","Restaurant spending is 15% higher than the 6-month baseline. Trimming two dinners this week keeps the month on target.",""
"Insight","Subscription Optimization","StreamPlus has not appeared in activity for 45 days. Canceling it could save ₹899 every month.","Review subscriptions"
